Company,Country/Region,Tech type,TRL (2025),First plant size (t CO₂/yr),Funding round,Round date (YYYY-MM),Amount (USD M),Lead investor(s),Total funding to date (USD M),Public grants / DOE award (USD M),Policy incentives targeted,Offtake buyers,Credit price disclosed? (Y/N),Projected cost ($/t CO₂),Storage partner / site,Source link,"Data quality (1–Low, 3=High)",amount_original,round_class,Notes / gaps,Disclosed credit price ($/t),45Q eligible (Y/N),LCFS eligible (Y/N)
Spiritus,US,Passive orchard,5.0,1000.0,Series A,2025-03-06,30.0,Aramco Ventures;Khosla Ventures;Mitsubishi Heavy Industries America,,,,Stripe; Shopify; H&M Group,N,100.0,,https://www.businesswire.com/news/home/20250306128973/en/Spiritus-Unleashes-a-Golden-Era-of-Carbon-Removal-to-Power-Americas-Explosive-Growth-%2430M-Series-A-to-Scale-Direct-Air-Capture,3,USD 30 M,Equity,,,Y,N
Verdox,US,Electro-swing adsorption,4.0,,Series A,2022-02-02,80.0,Breakthrough Energy Ventures;Prelude Ventures;Lowercarbon Capital,,,,,N,50.0,"Carbfix, Iceland",https://verdox.com/press-release/verdox-captures-80m-to-develop-novel-electric-carbon-removal-technology,3,USD 80 M,Equity,,,N,N
Verdox,US,Electro-swing adsorption,4.0,,Prize,2022-04-22,1.0,,,,,,N,50.0,"Carbfix, Iceland",https://verdox.com/press-release/verdox-wins-1m-xprize-carbon-removal-award-together-with-partner-carbfix,3,USD 1 M,Prize,,,N,N
Verdox,US,Electro-swing adsorption,4.0,,Grant,2020-06-29,0.3,US DOE,,0.3,,,N,50.0,"Carbfix, Iceland",https://www.sbir.gov/awards/177813,2,USD 250000,Grant,,,N,N
Verdox,US,Electro-swing adsorption,4.0,,Grant,2021-02-15,0.3,NSF,,0.3,,,N,50.0,"Carbfix, Iceland",https://www.sbir.gov/awards/188584,2,USD 250010,Grant,,,N,N
Verdox,US,Electro-swing adsorption,4.0,,Grant,2020-04-08,0.5,ARPA-E,,0.5,,,N,50.0,"Carbfix, Iceland",https://arpa-e.energy.gov/programs-and-initiatives/search-all-projects/electro-swing-adsorption-high-efficiency-direct-air-capture,2,USD 499900,Grant,,,N,N
Carbyon,NL,Fast-swing sorbent,4.0,100.0,Series A,2024-09-03,16.9,Siemens Financial Services;Omnes Capital;Global Cleantech Capital,,,,,N,100.0,"Deep Sky Labs, Quebec",https://www.carbyon.com/news/series-a,3,EUR 15.3 M,Equity,,,N,N
Carbyon,NL,Fast-swing sorbent,4.0,100.0,Seed,2022-06-01,7.4,Invest-NL;Brabant Development Agency;Innovation Industries,,,,,N,100.0,"Deep Sky Labs, Quebec",https://www.carbyon.com/about,2,EUR 7 M,Equity,,,N,N
Carbyon,NL,Fast-swing sorbent,4.0,100.0,Convertible loan,2022-06-22,3.2,Invest-NL,,,,,N,100.0,"Deep Sky Labs, Quebec",https://www.invest-nl.nl/en/impact/portfolio/carbyon,3,EUR 3 M,Equity,,,N,N
Carbyon,NL,Fast-swing sorbent,4.0,100.0,Prize,2022-04-22,1.0,,,,,,N,100.0,"Deep Sky Labs, Quebec",https://innovationorigins.com/en/selected/dutch-co2-capture-company-carbyon-wins-prestigious-international-xprize-milestone-award/,3,USD 1 M,Prize,,,N,N
Global Thermostat,US,Amine sorbent,7.0,1000.0,Grant,2021-01-01,2.5,U.S. DOE,,2.5,,,N,100.0,,https://netl.doe.gov/sites/default/files/netl-file/23CM_CDR29_Ping.pdf,3,"USD 2,499,996",Grant,,,Y,N
Global Thermostat,US,Amine sorbent,7.0,1000.0,Grant,2021-10-01,2.8,U.S. DOE,,2.8,,,N,100.0,,https://netl.doe.gov/projects/files/Scaleup%20and%20Site-Specific%20Engineering%20Design%20for%20Global%20Thermostat%20Direct%20Air%20Capture%20Technology.pdf,3,"USD 2,808,243",Grant,,,Y,N
Global Thermostat,US,Amine sorbent,7.0,1000.0,Strategic Investment,2023-05-30,,Sumitomo Corporation,,,,,N,100.0,,https://www.sumitomocorp.com/en/mideast-africa/news/topics/2023/group/20230530,2,undisclosed,Equity,undisclosed amount,,Y,N
Global Thermostat,US,Amine sorbent,7.0,1000.0,Acquisition,2024-05-23,,Zero Carbon Systems,,,,,N,100.0,,https://www.gasworld.com/story/zero-carbon-systems-acquires-global-thermostat/2139113.article/,2,undisclosed,Acquisition,undisclosed amount,,Y,N
